Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.00912E+12,461840.0,453630.0,-1.058641,53.975045,12,Severe,1,1,19/03/2009,5,35:00.0,189,E06000014,3,1036,6,30,9,4,6,0,0,0,1,1,1,0,0,2,2,E01013385
2.00912E+12,459740.0,451460.0,-1.091079,53.95579,12,Severe,1,1,20/03/2009,6,40:00.0,189,E06000014,3,1036,6,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01013415
2.00912E+12,464820.0,451670.0,-1.01363,53.957067,12,Severe,2,1,21/03/2009,7,04:00.0,189,E06000014,3,1079,1,60,1,2,3,64,0,0,1,1,1,0,0,2,1,E01013351
2.00912E+12,463010.0,456140.0,-1.040287,53.99746,12,Severe,2,1,21/03/2009,7,40:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013409
2.00912E+12,459110.0,447510.0,-1.101442,53.920364,12,Severe,2,1,21/03/2009,7,05:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013340
2.00912E+12,466810.0,449620.0,-0.983755,53.938392,12,Severe,2,1,24/03/2009,3,28:00.0,189,E06000014,4,1228,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013351
2.00912E+12,465630.0,451710.0,-1.001279,53.957324,12,Severe,1,1,25/03/2009,4,45:00.0,189,E06000014,3,1079,3,30,0,-1,-1,0,0,1,1,1,1,0,0,2,2,E01013351
2.00912E+12,461300.0,455340.0,-1.06653,53.990476,12,Severe,1,1,27/03/2009,6,30:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01013407
2.00912E+12,461030.0,453400.0,-1.071035,53.973074,12,Severe,1,2,27/03/2009,6,55:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01013382
2.00912E+12,463170.0,451280.0,-1.038852,53.953766,12,Severe,2,1,27/03/2009,6,35:00.0,189,E06000014,3,1079,6,40,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013398
2.00912E+12,459070.0,452880.0,-1.101014,53.968628,12,Severe,2,1,28/03/2009,7,00:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01013346
2.00912E+12,461160.0,448430.0,-1.070048,53.928395,12,Severe,1,1,29/03/2009,1,44:00.0,189,E06000014,4,1222,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013365
2.00912E+12,457220.0,449380.0,-1.129867,53.937382,12,Severe,2,1,30/03/2009,2,12:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013356
2.00912E+12,458310.0,448930.0,-1.113351,53.933216,12,Medium,2,1,31/03/2009,3,50:00.0,189,E06000014,3,1036,1,30,1,4,6,0,0,4,4,1,1,0,0,1,1,E01013355
2.00912E+12,460320.0,451680.0,-1.082198,53.9577,12,Severe,2,1,01/04/2009,4,15:00.0,189,E06000014,4,1227,6,30,9,2,6,0,0,4,1,1,1,0,0,1,1,E01013367
2.00912E+12,461000.0,451900.0,-1.071792,53.959598,12,Severe,2,1,01/04/2009,4,02:00.0,189,E06000014,3,1036,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01013383
2.00912E+12,457140.0,450670.0,-1.130844,53.948984,12,Severe,1,1,02/04/2009,5,35:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013447
2.00912E+12,460000.0,456070.0,-1.086211,53.997189,12,Severe,2,1,02/04/2009,5,45:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013407
2.00912E+12,459220.0,452980.0,-1.098708,53.96951,12,Severe,2,1,03/04/2009,6,34:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013346
2.00912E+12,459600.0,452710.0,-1.092968,53.96704,12,Severe,2,1,03/04/2009,6,10:00.0,189,E06000014,3,19,6,30,3,4,6,0,0,0,5,1,1,0,0,1,1,E01013344
2.00912E+12,465860.0,456290.0,-0.996786,53.998453,12,Medium,2,1,03/04/2009,6,11:00.0,189,E06000014,6,0,6,30,8,4,6,0,0,0,1,1,1,0,0,2,1,E01013437
2.00912E+12,461910.0,453520.0,-1.057597,53.974048,12,Severe,2,1,04/04/2009,7,04:00.0,189,E06000014,6,0,6,30,0,0,-1,0,0,0,1,1,1,0,0,1,1,E01013387
2.00912E+12,461560.0,452820.0,-1.063073,53.967799,12,Severe,2,1,07/04/2009,3,46:00.0,189,E06000014,6,0,1,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01013387
